"","Position","Year","Team"
"1666",6,"1991","Canterbury"
"1667",7,"1991","Brisbane"
"1668",8,"1991","Illawarra"
"1669",9,"1991","St George"
"1670",10,"1991","Cronulla"
"1671",11,"1991","Eastern Sydney"
"1672",12,"1991","Balmain"
"1673",13,"1991","Newcastle"
"1674",14,"1991","South Sydney"
"1675",15,"1991","Parramatta"
"1676",16,"1991","Gold Coast"
"1681",1,"1992","Brisbane"
"1682",2,"1992","St George"
"1683",3,"1992","Illawarra"
"1684",4,"1992","Newcastle"
"1685",5,"1992","Western Suburbs"
"1686",6,"1992","Eastern Sydney"
"1687",7,"1992","Canterbury"
"1688",8,"1992","Manly Warringah"
"1689",9,"1992","Penrith"
"1690",10,"1992","Balmain"
"1691",11,"1992","North Sydney"
"1692",12,"1992","Canberra"
"1693",13,"1992","Cronulla"
"1694",14,"1992","South Sydney"
"1695",15,"1992","Parramatta"
"1696",16,"1992","Gold Coast"
"1701",1,"1993","Canterbury"
"1702",2,"1993","St George"
"1703",3,"1993","Canberra"
"1704",4,"1993","Manly Warringah"
"1705",5,"1993","Brisbane"
"1706",6,"1993","North Sydney"
"1707",7,"1993","Illawarra"
"1708",8,"1993","Eastern Sydney"
"1709",9,"1993","Newcastle"
"1710",10,"1993","Cronulla"
"1711",11,"1993","Parramatta"
"1712",12,"1993","Penrith"
"1713",13,"1993","Western Suburbs"
"1714",14,"1993","South Sydney"
"1715",15,"1993","Balmain"
"1716",16,"1993","Gold Coast"
"1721",1,"1994","Canterbury"
"1722",2,"1994","North Sydney"
"1723",3,"1994","Canberra"
"1724",4,"1994","Manly Warringah"
"1725",5,"1994","Brisbane"
"1726",6,"1994","Illawarra"
"1727",7,"1994","Cronulla"
"1728",8,"1994","Penrith"
"1729",9,"1994","South Sydney"
"1730",10,"1994","Newcastle"
"1731",11,"1994","St George"
"1732",12,"1994","Parramatta"
"1733",13,"1994","Western Suburbs"
"1734",14,"1994","Eastern Sydney"
"1735",15,"1994","Gold Coast"
"1736",16,"1994","Balmain"
"1741",1,"1995","Manly Warringah"
"1742",2,"1995","Canberra"
"1743",3,"1995","Brisbane"
"1744",4,"1995","Cronulla"
"1745",5,"1995","Newcastle"
"1746",6,"1995","Canterbury"
"1747",7,"1995","St George"
"1748",8,"1995","North Sydney"
"1749",9,"1995","Eastern Sydney"
"1750",10,"1995","Warriors"
"1751",11,"1995","Western Reds"
"1752",12,"1995","Illawarra"
"1753",13,"1995","Western Suburbs"
"1754",14,"1995","Penrith"
"1755",15,"1995","Balmain"
"1756",16,"1995","South Queensland"
"1757",17,"1995","Gold Coast"
"1758",18,"1995","South Sydney"
"1759",19,"1995","Parramatta"
"1760",20,"1995","North Queensland"
"1761",1,"1996","Manly Warringah"
"1762",2,"1996","Brisbane"
"1763",3,"1996","North Sydney"
"1764",4,"1996","Eastern Sydney"
"1765",5,"1996","Cronulla"
"1766",6,"1996","Canberra"
"1767",7,"1996","St George"
"1768",8,"1996","Western Suburbs"
"1769",9,"1996","Newcastle"
"1770",10,"1996","Canterbury"
"1771",11,"1996","Warriors"
"1772",12,"1996","Balmain"
"1773",13,"1996","Parramatta"
"1774",14,"1996","Illawarra"
"1775",15,"1996","Penrith"
"1776",16,"1996","Western Reds"
"1777",17,"1996","North Queensland"
"1778",18,"1996","Gold Coast"
"1779",19,"1996","South Sydney"
"1780",20,"1996","South Queensland"
"1781",1,"1997","Manly Warringah"
"1782",2,"1997","Newcastle"
"1783",3,"1997","Parramatta"
"1784",4,"1997","North Sydney"
"1785",5,"1997","Eastern Sydney"
"1786",6,"1997","Illawarra"
"1787",7,"1997","Gold Coast"
"1788",8,"1997","Balmain"
"1789",9,"1997","Western Suburbs"
"1790",10,"1997","St George"
"1791",11,"1997","South Sydney"
"1792",12,"1997","South Queensland"
"1801",1,"1998","Brisbane"
"1802",2,"1998","Newcastle"
"1803",3,"1998","Melbourne"
"1804",4,"1998","Parramatta"
"1805",5,"1998","North Sydney"
"1806",6,"1998","Eastern Sydney"
"1807",7,"1998","Canberra"
"1808",8,"1998","St George"
"1809",9,"1998","Canterbury"
"1810",10,"1998","Manly Warringah"
"1811",11,"1998","Cronulla"
"1812",12,"1998","Illawarra"
"1813",13,"1998","Balmain"
"1814",14,"1998","Penrith"
"1815",15,"1998","Warriors"
"1816",16,"1998","North Queensland"
"1817",17,"1998","Adelaide"
"1818",18,"1998","South Sydney"
"1819",19,"1998","Gold Coast"
"1820",20,"1998","Western Suburbs"
"1821",1,"1999","Cronulla"
"1822",2,"1999","Parramatta"
"1823",3,"1999","Melbourne"
"1824",4,"1999","Eastern Sydney"
"1825",5,"1999","Canterbury"
"1826",6,"1999","St George Illawarra"
"1827",7,"1999","Newcastle"
"1828",8,"1999","Brisbane"
"1829",9,"1999","Canberra"
"1830",10,"1999","Penrith"
"1831",11,"1999","Warriors"
"1832",12,"1999","South Sydney"
"1833",13,"1999","Manly Warringah"
"1834",14,"1999","North Sydney"
"1835",15,"1999","Balmain"
"1836",16,"1999","North Queensland"
"1837",17,"1999","Western Suburbs"
"1841",1,"2000","Brisbane"
"1842",2,"2000","Eastern Sydney"
"1843",3,"2000","Newcastle"
"1844",4,"2000","Canberra"
"1845",5,"2000","Penrith"
"1846",6,"2000","Melbourne"
"1847",7,"2000","Parramatta"
"1848",8,"2000","Cronulla"
"1849",9,"2000","St George Illawarra"
"1850",10,"2000","Wests Tigers"
"1851",11,"2000","Canterbury"
"1852",12,"2000","Manly Warringah"
"1853",13,"2000","Warriors"
"1854",14,"2000","North Queensland"
"1861",1,"2001","Parramatta"
"1862",2,"2001","Canterbury"
"1863",3,"2001","Newcastle"
"1864",4,"2001","Cronulla"
"1865",5,"2001","Brisbane"
"1866",6,"2001","Eastern Sydney"
"1867",7,"2001","St George Illawarra"
"1868",8,"2001","Warriors"
"1869",9,"2001","Melbourne"
"1870",10,"2001","Manly Warringah"
"1871",11,"2001","Canberra"
"1872",12,"2001","Wests Tigers"
"1873",13,"2001","North Queensland"
"1874",14,"2001","Penrith"
"1881",1,"2002","Warriors"
"1882",2,"2002","Newcastle"
"1883",3,"2002","Brisbane"
"1884",4,"2002","Eastern Sydney"
"1885",5,"2002","Cronulla"
"1886",6,"2002","Parramatta"
"1887",7,"2002","St George Illawarra"
"1888",8,"2002","Canberra"
"1889",9,"2002","Manly Warringah"
"1890",10,"2002","Melbourne"
"1891",11,"2002","North Queensland"
"1892",12,"2002","Penrith"
"1893",13,"2002","Wests Tigers"
"1894",14,"2002","South Sydney"
"1895",15,"2002","Canterbury"
"1901",1,"2003","Penrith"
"1902",2,"2003","Eastern Sydney"
"1903",3,"2003","Canterbury"
"1904",4,"2003","Canberra"
"1905",5,"2003","Melbourne"
"1906",6,"2003","Warriors"
"1907",7,"2003","Newcastle"
"1908",8,"2003","Brisbane"
"1909",9,"2003","Parramatta"
"1910",10,"2003","St George Illawarra"
"1911",11,"2003","North Queensland"
"1912",12,"2003","Cronulla"
"1913",13,"2003","Wests Tigers"
"1914",14,"2003","Manly Warringah"
"1915",15,"2003","South Sydney"
"1921",1,"2004","Eastern Sydney"
"1922",2,"2004","Canterbury"
"1923",3,"2004","Brisbane"
"1924",4,"2004","Penrith"
"1925",5,"2004","St George Illawarra"
"1926",6,"2004","Melbourne"
"1927",7,"2004","North Queensland"
"1928",8,"2004","Canberra"
"1929",9,"2004","Wests Tigers"
"1930",10,"2004","Newcastle"
"1931",11,"2004","Cronulla"
"1932",12,"2004","Parramatta"
"1933",13,"2004","Manly Warringah"
"1934",14,"2004","Warriors"
"1935",15,"2004","South Sydney"
"1941",1,"2005","Parramatta"
"1942",2,"2005","St George Illawarra"
"1943",3,"2005","Brisbane"
"1944",4,"2005","Wests Tigers"
"1945",5,"2005","North Queensland"
"1946",6,"2005","Melbourne"
"1947",7,"2005","Cronulla"
"1948",8,"2005","Manly Warringah"
"1949",9,"2005","Eastern Sydney"
"1950",10,"2005","Penrith"
"1951",11,"2005","Warriors"
"1952",12,"2005","Canterbury"
"1953",13,"2005","South Sydney"
"1954",14,"2005","Canberra"
"1955",15,"2005","Newcastle"
"1961",1,"2006","Melbourne"
"1962",2,"2006","Canterbury"
"1963",3,"2006","Brisbane"
"1964",4,"2006","Newcastle"
"1965",5,"2006","Manly Warringah"
"1966",6,"2006","St George Illawarra"
"1967",7,"2006","Canberra"
"1968",8,"2006","Parramatta"
"1969",9,"2006","North Queensland"
"1970",10,"2006","Warriors"
"1971",11,"2006","Wests Tigers"
"1972",12,"2006","Penrith"
"1973",13,"2006","Cronulla"
"1974",14,"2006","Eastern Sydney"
"1975",15,"2006","South Sydney"
"1981",1,"2007","Melbourne"
"1982",2,"2007","Manly Warringah"
"1983",3,"2007","North Queensland"
"1984",4,"2007","Warriors"
"1985",5,"2007","Parramatta"
"1986",6,"2007","Canterbury"
"1987",7,"2007","South Sydney"
"1988",8,"2007","Brisbane"
"1989",9,"2007","Wests Tigers"
"1990",10,"2007","Eastern Sydney"
"1991",11,"2007","Cronulla"
"1992",12,"2007","Gold Coast Titans"
"1993",13,"2007","St George Illawarra"
"1994",14,"2007","Canberra"
"1995",15,"2007","Newcastle"
"1996",16,"2007","Penrith"
"2001",1,"2008","Melbourne"
"2002",2,"2008","Manly Warringah"
"2003",3,"2008","Cronulla"
"2004",4,"2008","Eastern Sydney"
"2005",5,"2008","Brisbane"
"2006",6,"2008","Canberra"
"2007",7,"2008","St George Illawarra"
"2008",8,"2008","Warriors"
"2009",9,"2008","Newcastle"
"2010",10,"2008","Wests Tigers"
"2011",11,"2008","Parramatta"
"2012",12,"2008","Penrith"
"2013",13,"2008","Gold Coast Titans"
"2014",14,"2008","South Sydney"
"2015",15,"2008","North Queensland"
"2016",16,"2008","Canterbury"
"2021",1,"2009","St George Illawarra"
"2022",2,"2009","Canterbury"
"2023",3,"2009","Gold Coast Titans"
"2024",4,"2009","Melbourne"
"2025",5,"2009","Manly Warringah"
"2026",6,"2009","Brisbane"
"2027",7,"2009","Newcastle"
"2028",8,"2009","Parramatta"
"2029",9,"2009","Wests Tigers"
"2030",10,"2009","South Sydney"
"2031",11,"2009","Penrith"
"2032",12,"2009","North Queensland"
"2033",13,"2009","Canberra"
"2034",14,"2009","Warriors"
"2035",15,"2009","Cronulla"
"2036",16,"2009","Eastern Sydney"
"2041",1,"2010","St George Illawarra"
"2042",2,"2010","Penrith"
"2043",3,"2010","Wests Tigers"
"2044",4,"2010","Gold Coast Titans"
"2045",5,"2010","Warriors"
"2046",6,"2010","Eastern Sydney"
"2047",7,"2010","Canberra"
"2048",8,"2010","Manly Warringah"
"2049",9,"2010","South Sydney"
"2050",10,"2010","Brisbane"
"2051",11,"2010","Newcastle"
"2052",12,"2010","Parramatta"
"2053",13,"2010","Canterbury"
"2054",14,"2010","Cronulla"
"2055",15,"2010","North Queensland"
"2056",16,"2010","Melbourne"
"2061",1,"2011","Melbourne"
"2062",2,"2011","Manly Warringah"
"2063",3,"2011","Brisbane"
"2064",4,"2011","Wests Tigers"
"2065",5,"2011","St George Illawarra"
"2066",6,"2011","Warriors"
"2067",7,"2011","North Queensland"
"2068",8,"2011","Newcastle"
"2069",9,"2011","Canterbury"
"2070",10,"2011","South Sydney"
"2071",11,"2011","Eastern Sydney"
"2072",12,"2011","Penrith"
"2073",13,"2011","Cronulla"
"2074",14,"2011","Parramatta"
"2075",15,"2011","Canberra"
"2076",16,"2011","Gold Coast Titans"
"2081",1,"2012","Canterbury"
"2082",2,"2012","Melbourne"
"2083",3,"2012","South Sydney"
"2084",4,"2012","Manly Warringah"
"2085",5,"2012","North Queensland"
"2086",6,"2012","Canberra"
"2087",7,"2012","Cronulla"
"2088",8,"2012","Brisbane"
"2089",9,"2012","St George Illawarra"
"2090",10,"2012","Wests Tigers"
"2091",11,"2012","Gold Coast Titans"
"2092",12,"2012","Newcastle"
"2093",13,"2012","Eastern Sydney"
"2094",14,"2012","Warriors"
"2095",15,"2012","Penrith"
"2096",16,"2012","Parramatta"
"2101",1,"2013","Eastern Sydney"
"2102",2,"2013","South Sydney"
"2103",3,"2013","Melbourne"
"2104",4,"2013","Manly Warringah"
"2105",5,"2013","Cronulla"
"2106",6,"2013","Canterbury"
"2107",7,"2013","Newcastle"
"2108",8,"2013","North Queensland"
"2109",9,"2013","Gold Coast Titans"
"2110",10,"2013","Penrith"
"2111",11,"2013","Warriors"
"2112",12,"2013","Brisbane"
"2113",13,"2013","Canberra"
"2114",14,"2013","St George Illawarra"
"2115",15,"2013","Wests Tigers"
"2116",16,"2013","Parramatta"
"2121",1,"2014","Eastern Sydney"
"2122",2,"2014","Manly Warringah"
"2123",3,"2014","South Sydney"
"2124",4,"2014","Penrith"
"2125",5,"2014","North Queensland"
"2126",6,"2014","Melbourne"
"2127",7,"2014","Canterbury"
"2128",8,"2014","Brisbane"
"2129",9,"2014","Warriors"
"2130",10,"2014","Parramatta"
"2131",11,"2014","St George Illawarra"
"2132",12,"2014","Newcastle"
"2133",13,"2014","Wests Tigers"
"2134",14,"2014","Gold Coast Titans"
"2135",15,"2014","Canberra"
"2136",16,"2014","Cronulla"
"2141",1,"2015","Eastern Sydney"
"2142",2,"2015","Brisbane"
"2143",3,"2015","North Queensland"
"2144",4,"2015","Melbourne"
"2145",5,"2015","Canterbury"
"2146",6,"2015","Cronulla"
"2147",7,"2015","South Sydney"
"2148",8,"2015","St George Illawarra"
"2149",9,"2015","Manly Warringah"
"2150",10,"2015","Canberra"
"2151",11,"2015","Penrith"
"2152",12,"2015","Parramatta"
"2153",13,"2015","Warriors"
"2154",14,"2015","Gold Coast Titans"
"2155",15,"2015","Wests Tigers"
"2156",16,"2015","Newcastle"
