model,condition,f_stat,p_value,rsquared,rsquared_adj,rsquared_pred
['UNIT'],580.45087127695888,203.80833826460176,0.0,0.4183401242550463,0.41628750890173372,0.41250989870787347
['Weekend'],2.4265867529254597,1648.565376128395,0.0,0.012339786069357261,0.012332300903013182,0.012315022888753302
['Hour'],19.958734055011337,770.20889829170278,0.0,0.11838138881627958,0.11822768845125031,0.11815059730091937
['rain'],2.4142207399764857,1.2368111429937678,0.26608853678242417,9.3733150684505162e-06,1.7947004015139711e-06,-2.11594317049979e-05
['fog'],2.7670073404666748,17.052744241652192,3.6378136752147078e-05,0.0001292206888593439,0.00012164298247796523,9.7444871544505318e-05
['meantempi'],635.59100081202268,68.604202946247554,1.2145630078227479e-16,0.00051965950571852826,0.00051208475835029521,0.0004908186614761556
"['UNIT', 'Weekend']",610.42069281405338,212.43911115826762,0.0,0.42899437874936208,0.42697500304961267,0.42329591975918002
"['UNIT', 'Hour']",596.69528001350579,270.89538772409389,0.0,0.50087903011707402,0.49903005426582325,0.49593500490528331
"['UNIT', 'rain']",618.55465887126581,203.37795054553192,0.0,0.41835143878087744,0.41629442405701622,0.41251226824913489
"['UNIT', 'fog']",589.5329683661729,203.46951204471017,0.0,0.41846096779149244,0.41640434041972418,0.41262241246263121
"['UNIT', 'meantempi']",37149.666480158536,203.74966081017286,0.0,0.41879583532410813,0.416740392219767,0.41296330682498639
"['Weekend', 'Hour']",20.961764466900942,842.63755782068063,0.0,0.13291747778824636,0.13275973799068508,0.13268004189214244
"['Weekend', 'rain']",2.8925947461504715,838.12155479761361,0.0,0.01254445354066791,0.012529486196767858,0.012504156352080131
"['Weekend', 'fog']",2.9948810423137346,824.29110903157004,0.0,0.012340002945376516,0.012325032502519373,0.012298824905696892
"['Weekend', 'meantempi']",635.6810165610591,837.00352701509075,0.0,0.012527929275551908,0.012512961681185542,0.012489670209674397
"['Hour', 'rain']",21.223136088399745,738.19907826285555,0.0,0.11839380509706954,0.11823342315054142,0.11814945680071887
"['Hour', 'fog']",20.260658567262919,739.19183472976033,0.0,0.11853415227849806,0.11837379586395269,0.11828880622350757
"['Hour', 'meantempi']",1265.0301996832131,742.48707930501394,0.0,0.11899968483116397,0.11883941310637847,0.11875682016509093
"['rain', 'fog']",3.5812825439527418,8.8540532593003007,0.00014288660954845343,0.0001341871822057028,0.00011903172986349464,8.6769210995929491e-05
"['rain', 'meantempi']",652.22996074449463,34.311835508664473,1.2659973920871038e-15,0.00051981083222019109,0.00050466122496317656,0.0004763069466950931
"['fog', 'meantempi']",636.24933643907707,46.273792810290523,8.1393851886808518e-21,0.00070090277049605909,0.00068575590813757525,0.00065564398111173094
"['UNIT', 'Weekend', 'Hour']",625.85994745628568,283.17414789284999,0.0,0.5124735019832658,0.51066375520448437,0.5076788303368529
"['UNIT', 'Weekend', 'rain']",643.60482248873382,212.12272807450816,0.0,0.42915739035365108,0.42713423425788888,0.42345190737009886
"['UNIT', 'Weekend', 'fog']",618.26231177379839,211.98227786023511,0.0,0.42899513777625009,0.42697140663180466,0.42328703085376407
"['UNIT', 'Weekend', 'meantempi']",37150.064278945894,212.12597563003743,0.0,0.4291611409429229,0.42713799813983966,0.42345680175314138
"['UNIT', 'Hour', 'rain']",633.70613681264945,270.35556605376769,0.0,0.50089507262875976,0.49904234557031579,0.49594351502173095
"['UNIT', 'Hour', 'fog']",605.53062541680197,270.50487253812582,0.0,0.50103309893041792,0.49918088423931362,0.49608264885684195
"['UNIT', 'Hour', 'meantempi']",37271.916007329513,270.89587472150748,0.0,0.50139419921763362,0.49954332496665765,0.49644984099545153
"['UNIT', 'rain', 'fog']",629.57705540551081,203.0337580025078,0.0,0.4184638683228088,0.41640281270112423,0.41261623519968738
"['UNIT', 'rain', 'meantempi']",37150.1373362905,203.31089884422633,0.0,0.41879585369451444,0.416735974681263,0.4129546226501184
"['UNIT', 'fog', 'meantempi']",37149.803977021205,203.4510789166375,0.0,0.41896363026416672,0.41690434587749692,0.41312346921326026
"['Weekend', 'Hour', 'rain']",22.069470611715015,810.57211290999464,0.0,0.13315195251502709,0.13298768341374145,0.13290090365640639
"['Weekend', 'Hour', 'fog']",21.224386216179724,808.9275860039736,0.0,0.13291771460841784,0.13275340111867151,0.13266592757477524
"['Weekend', 'Hour', 'meantempi']",1265.2567796943704,810.51090553116489,0.0,0.13314323672007355,0.13297896596713066,0.13289384849185359
"['Weekend', 'rain', 'fog']",3.7216214134961096,561.26034002322797,0.0,0.012600248290225879,0.012577798372795934,0.012543224471906256
"['Weekend', 'rain', 'meantempi']",652.34784336813084,570.12995049270819,0.0,0.012796822183784418,0.012774376735737447,0.012743698875806397
"['Weekend', 'fog', 'meantempi']",636.40247188592787,558.14824443720306,0.0,0.012531257513743732,0.012508806027711761,0.012476811542280752
"['Hour', 'rain', 'fog']",21.587914888921418,709.6518561274404,0.0,0.11853902200795252,0.11837198373279778,0.11827984000566338
"['Hour', 'rain', 'meantempi']",1265.506486876483,712.78258564238433,0.0,0.11899974255341705,0.11883279158554783,0.11874393870431088
"['Hour', 'fog', 'meantempi']",1265.0507419661603,714.24139532967558,0.0,0.11921425764724569,0.11904734733033229,0.11895701359498423
"['rain', 'fog', 'meantempi']",662.45864774663926,33.341845700940191,1.5634035836284066e-21,0.00075749935824731551,0.00073478017931993822,0.00069801746401054743
"['UNIT', 'Weekend', 'Hour', 'rain']",658.34058631954701,282.77850515398006,0.0,0.51263753407045576,0.51082467515534369,0.50783713312270673
